2014-02-28,24055
2014-03-01,34727
2014-03-02,28394
2014-03-03,32525
2014-03-04,23561
2014-03-05,26363
2014-03-06,33067
2014-03-07,35222
2014-03-08,41428
2014-03-09,35775
2014-03-10,27920
2014-03-11,24600
2014-03-12,25523
2014-03-13,28641
2014-03-14,27256
2014-03-15,39264
2014-03-16,36525
2014-03-17,26760
2014-03-18,30779
2014-03-19,31607
2014-03-20,22213
2014-03-21,31145
2014-03-22,33361
2014-03-23,30783
2014-03-24,25791
2014-03-25,41258
2014-03-26,30535
2014-03-27,33532
2014-03-28,33871
2014-03-29,36467
